ProductID,Color,Material,Size,Capacity,Power_W,Voltage,Warranty_Months
1453,Grey,Cotton,500ml,,65,220V,-3
1454,Blue,Metal,M,N/A,65,230V,15
1455,Silver,Metal,,750ml,65,110V,20
1456,Black,Metal,XL,,,230V,15
1457,Red,Plastic,XXL,750ml,65,230V,35
1458,Red,Steel,S,N/A,120,220V,0
1459,Grey,Plastic,XL,500ml,250,230V,23
1460,Silver,,500ml,500ml,N/A,,-2
1461,Silver,Plastic,15.6,N/A,,110V,34
1462,Blue,Cotton,750ml,500ml,250,N/A,41
1463,Black,Steel,500ml,N/A,N/A,,16
1464,White,Metal,,500ml,120,110V,45
1465,,,XL,500ml,120,N/A,27
1466,Black,Plastic,500ml,N/A,120,230V,-6
1467,Silver,Plastic,500ml,,N/A,,9
1468,,Steel,XL,,N/A,220V,8
1469,Silver,Steel,,1L,N/A,230V,31
1470,Grey,Steel,XL,N/A,65,230V,-5
1471,,Metal,XXL,500ml,,110V,25
1472,Grey,Plastic,500ml,N/A,120,230V,4
1473,White,Cotton,500ml,500ml,120,220V,1
1474,Blue,Mesh,15.6,750ml,120,N/A,45
1475,Blue,,M,,120,220V,27
1476,Grey,,500ml,N/A,250,220V,24
1477,White,Cotton,M,,250,N/A,23
1478,White,Mesh,M,750ml,65,,-2
1479,,,L,1L,250,N/A,22
1480,Red,Steel,500ml,,,220V,20
1481,White,Steel,S,1L,250,220V,-8
1482,Red,Metal,L,500ml,N/A,,28
1483,Silver,Cotton,500ml,1L,250,220V,35
1484,Silver,Metal,XL,,120,,5
1485,Red,,15.6,N/A,250,220V,24
1486,Grey,Mesh,L,1L,,110V,-12
1487,Red,Metal,,750ml,N/A,230V,-10
1488,,Steel,XXL,N/A,250,,35
1489,,Plastic,S,,65,230V,15
1490,Blue,,M,N/A,120,N/A,7
1491,Black,Cotton,750ml,N/A,250,220V,30
1492,White,Metal,750ml,500ml,250,N/A,12
1493,,Metal,500ml,750ml,120,N/A,13
1494,Blue,,S,500ml,250,N/A,32
1495,White,Plastic,15.6,500ml,250,,14
1496,White,Plastic,XXL,N/A,250,220V,31
1497,Red,Cotton,,1L,250,110V,7
1498,Silver,Plastic,15.6,,250,110V,18
1499,Red,Metal,M,500ml,250,,7
1500,Silver,Plastic,XL,1L,N/A,N/A,14
1501,Blue,Mesh,L,750ml,,230V,19
1502,Grey,Steel,750ml,750ml,65,110V,23
1503,Black,Cotton,M,N/A,250,230V,-5
1504,Blue,Steel,XL,N/A,250,,24
1505,Silver,Cotton,750ml,750ml,65,N/A,32
1506,White,Metal,XL,1L,65,230V,17
1507,White,Metal,750ml,500ml,,N/A,21
1508,Black,Cotton,XXL,750ml,65,110V,3
1509,Red,,XXL,,65,N/A,6
1510,Grey,Steel,XL,,120,220V,12
1511,,Steel,,750ml,N/A,,47
1512,White,Cotton,750ml,750ml,65,,40
1513,Red,Cotton,XL,1L,N/A,N/A,-10
1514,Black,Metal,M,,250,230V,39
1515,,Steel,L,N/A,,230V,45
1516,Black,Steel,L,750ml,N/A,,35
1517,Blue,Steel,,N/A,250,230V,10
1518,Red,Steel,L,500ml,65,110V,37
1519,,Plastic,XXL,1L,,220V,22
1520,Silver,Mesh,500ml,1L,N/A,110V,37
1521,White,Plastic,L,750ml,N/A,110V,40
1522,Grey,,XL,,120,220V,28
1523,Grey,Mesh,XL,1L,250,N/A,42
1524,Blue,Plastic,M,750ml,120,N/A,47
1525,White,Metal,M,,120,,8
1526,Red,Metal,500ml,N/A,250,,25
1527,White,Mesh,500ml,500ml,120,110V,0
1528,Black,Metal,500ml,,N/A,110V,24
1529,Red,,15.6,500ml,N/A,220V,8
1530,Grey,Metal,S,500ml,250,110V,23
1531,,Metal,15.6,500ml,250,N/A,38
1532,Red,,XL,750ml,250,N/A,30
1533,Grey,Steel,XL,500ml,120,220V,39
1534,,,,1L,65,220V,6
1535,Grey,Cotton,15.6,,,230V,10
1536,Silver,,750ml,1L,65,230V,-8
1537,Grey,Steel,XL,750ml,,110V,13
1538,,Metal,,N/A,N/A,N/A,6
1539,White,Mesh,M,,65,220V,47
1540,White,Plastic,500ml,750ml,65,220V,10
1541,White,Steel,XXL,1L,,110V,21
1542,Blue,Plastic,15.6,1L,,230V,-9
1543,Grey,Plastic,L,,120,N/A,-11
1544,Grey,Plastic,S,750ml,65,110V,27
1545,Grey,,M,500ml,N/A,,12
1546,Grey,Plastic,M,1L,65,220V,37
1547,White,Mesh,L,1L,,N/A,35
1548,,Steel,15.6,750ml,,220V,-8
1549,Red,Steel,M,N/A,65,220V,28
1550,Grey,,750ml,,N/A,N/A,47
1551,White,Cotton,S,N/A,65,,-11
1552,Silver,Mesh,,750ml,65,220V,32
1553,,,,750ml,120,110V,20
1554,Black,,15.6,500ml,N/A,,2
1555,Blue,Mesh,XXL,500ml,N/A,,14
1556,,,L,750ml,,110V,39
1557,Red,Metal,15.6,1L,250,,41
1558,Grey,Cotton,,N/A,65,110V,-10
1559,,,500ml,,250,N/A,45
1560,Blue,Cotton,XXL,N/A,250,220V,-4
1561,White,Metal,XXL,500ml,250,230V,0
1562,Black,Steel,XL,N/A,N/A,,38
1563,Black,,M,500ml,N/A,230V,40
1564,Black,,M,,N/A,,-1
1565,,,XL,500ml,N/A,,17
1566,Grey,Cotton,S,500ml,120,220V,25
1567,Silver,Metal,XL,750ml,N/A,230V,-12
1568,Red,Metal,,N/A,120,N/A,39
1569,Grey,Plastic,15.6,750ml,250,N/A,20
1570,,,,N/A,120,230V,4
1571,Red,Steel,750ml,1L,120,,16
1572,Silver,Plastic,15.6,1L,250,230V,16
1573,Grey,,,500ml,120,220V,2
1574,Blue,Steel,15.6,,,230V,13
1575,White,Steel,L,N/A,65,220V,25
1576,,Cotton,M,N/A,N/A,230V,30
1577,Black,Plastic,,,250,,45
1578,Grey,Mesh,L,N/A,120,110V,3
1579,,Metal,,1L,250,220V,39
1580,Grey,Steel,750ml,N/A,250,110V,33
1581,Red,Mesh,,N/A,65,,20
1582,Black,,15.6,750ml,,220V,47
1583,Blue,Steel,XXL,500ml,N/A,230V,-12
1584,Grey,Mesh,500ml,,,220V,-12
1585,Grey,Cotton,XL,N/A,N/A,,13
1586,Blue,Cotton,XXL,,,110V,42
1587,Silver,Metal,L,1L,250,N/A,8
1588,Black,,,,,N/A,8
1589,,Cotton,750ml,500ml,250,110V,13
1590,Grey,Mesh,S,500ml,250,230V,20
1591,Blue,Metal,15.6,N/A,250,,21
1592,White,Cotton,M,1L,N/A,220V,15
1593,Red,Steel,XXL,N/A,120,N/A,8
1594,Black,Steel,750ml,750ml,,,4
1595,Silver,Steel,L,N/A,120,110V,22
1596,Blue,Metal,L,,120,N/A,46
1597,Grey,Plastic,M,1L,N/A,N/A,1
1598,White,,S,N/A,120,N/A,16
